age,job,marital,education,default,balance,housing,loan,uid
54,management,divorced,tertiary,no,5475,no,no,45073
57,unknown,married,primary,no,270,no,no,20983
29,management,married,tertiary,no,877,no,no,29550
47,services,married,unknown,no,11,no,no,19975
32,technician,single,secondary,no,271,yes,no,37465
51,technician,divorced,secondary,no,2323,yes,yes,21261
30,management,single,tertiary,no,1243,yes,no,24171
42,housemaid,divorced,primary,no,273,no,no,43515
48,housemaid,married,secondary,no,0,no,no,43828
25,management,single,tertiary,no,89,no,no,41475
30,management,single,tertiary,no,726,yes,no,32253
42,management,married,secondary,no,0,yes,yes,29225
41,unknown,single,tertiary,no,1567,no,no,40400
35,blue-collar,married,secondary,no,162,no,yes,16067
39,services,married,secondary,no,0,no,no,9119
52,admin.,divorced,secondary,no,131,yes,yes,2492
31,blue-collar,married,secondary,no,457,yes,no,36136
54,management,divorced,tertiary,no,2152,no,no,43730
38,technician,married,primary,no,217,yes,no,9889
59,admin.,married,unknown,no,64343,no,no,19421
36,entrepreneur,married,unknown,no,298,yes,no,1277
26,blue-collar,married,secondary,yes,-82,yes,no,8869
34,services,married,secondary,no,12,no,no,4831
45,technician,married,secondary,no,2571,no,no,11276
40,management,single,secondary,no,906,yes,no,34686
43,unemployed,married,tertiary,no,0,no,no,44205
49,admin.,single,secondary,no,293,no,no,44011
28,blue-collar,married,secondary,no,751,yes,no,16122
57,management,married,tertiary,no,24498,no,no,27344
40,blue-collar,divorced,secondary,no,793,yes,no,3274
35,technician,married,secondary,no,94,yes,yes,3145
44,admin.,divorced,primary,no,429,yes,no,24079
48,services,married,secondary,no,11516,no,no,10060
32,admin.,married,secondary,no,347,yes,no,18542
29,admin.,single,secondary,no,405,yes,no,38391
38,blue-collar,married,primary,no,2322,no,no,11479
31,entrepreneur,single,secondary,no,131,yes,no,15742
36,technician,married,secondary,no,318,no,no,17911
48,blue-collar,married,secondary,no,-85,yes,no,37238
28,admin.,married,secondary,no,629,no,no,29346
47,admin.,married,secondary,no,2354,yes,no,3291
27,technician,single,tertiary,no,261,yes,yes,28701
38,self-employed,married,tertiary,no,1029,no,no,23786
69,retired,married,secondary,no,0,no,no,41847
33,management,married,tertiary,no,52,no,no,22644
46,entrepreneur,married,tertiary,no,4726,yes,no,31823
51,housemaid,married,primary,no,1521,no,no,9419
49,blue-collar,married,secondary,no,90,yes,no,937
39,entrepreneur,married,tertiary,no,942,yes,no,41084
55,housemaid,married,secondary,no,962,yes,no,43574
30,management,married,tertiary,no,877,no,no,39381
56,blue-collar,married,secondary,no,339,no,no,13345
35,technician,married,secondary,no,2189,no,no,25639
70,retired,divorced,primary,no,4531,no,no,43747
31,technician,single,tertiary,no,387,no,no,18865
35,blue-collar,married,secondary,no,592,yes,no,4794
50,blue-collar,married,primary,no,82,no,no,43418
46,blue-collar,married,secondary,no,0,yes,no,24306
52,retired,married,secondary,no,5057,no,no,24562
36,technician,married,secondary,no,4613,no,no,26076
33,management,single,tertiary,no,215,yes,no,32000
41,management,married,secondary,no,0,no,yes,12841
26,student,single,secondary,no,864,yes,no,38464
26,blue-collar,married,secondary,no,490,yes,no,12252
51,blue-collar,married,secondary,no,224,yes,yes,17315
62,management,married,tertiary,no,2785,no,no,40478
24,admin.,single,tertiary,no,0,yes,no,39676
39,admin.,single,secondary,no,1242,yes,no,2297
57,admin.,divorced,secondary,no,1403,yes,no,14902
36,technician,married,tertiary,no,-718,yes,no,12206
42,admin.,divorced,secondary,no,63,no,no,3712
42,management,married,secondary,no,0,no,no,1071
28,unemployed,single,secondary,no,559,yes,no,8814
33,management,single,tertiary,no,755,yes,no,23674
30,management,married,tertiary,no,302,yes,yes,5435
32,management,single,tertiary,yes,5,yes,no,23085
45,blue-collar,divorced,primary,no,1512,yes,no,30888
34,admin.,married,secondary,no,131,no,no,25916
35,technician,single,secondary,no,920,yes,no,44526
42,unemployed,divorced,tertiary,no,-166,no,no,23931
35,technician,divorced,unknown,no,244,no,no,15650
28,blue-collar,divorced,primary,no,410,yes,no,7573
40,admin.,married,secondary,no,457,no,no,44126
37,blue-collar,married,secondary,no,80,yes,yes,44479
32,blue-collar,married,secondary,no,1148,yes,no,33430
29,management,single,tertiary,no,-27,no,no,43705
33,admin.,married,secondary,no,1158,yes,no,33649
37,technician,married,tertiary,no,549,no,no,31215
36,technician,single,tertiary,no,268,no,no,23957
35,blue-collar,married,secondary,no,5310,yes,no,7309
29,admin.,single,secondary,no,-498,yes,no,11919
38,technician,single,secondary,no,1255,yes,no,34923
46,services,married,secondary,no,301,no,no,23079
42,technician,single,secondary,no,0,yes,no,644
39,management,married,tertiary,no,1598,yes,yes,6547
39,blue-collar,single,secondary,no,0,yes,no,35609
52,retired,married,primary,no,1629,no,no,39806
31,technician,single,tertiary,no,53,no,no,27851
27,admin.,married,secondary,no,-393,yes,yes,5449
37,management,married,tertiary,no,502,yes,no,35287
35,entrepreneur,married,secondary,no,2971,no,no,27205
47,blue-collar,married,primary,no,304,yes,no,2105
37,technician,married,secondary,no,1116,yes,no,29557
39,management,married,primary,no,738,yes,yes,15453
55,unemployed,divorced,secondary,no,387,yes,no,513
39,admin.,single,secondary,no,-25,yes,no,413
33,technician,married,secondary,no,362,no,yes,23100
28,admin.,married,secondary,no,-393,yes,yes,35475
37,management,married,tertiary,no,-113,yes,no,7405
35,student,single,secondary,no,2960,yes,no,7777
56,retired,divorced,secondary,no,212,no,yes,15260
40,services,divorced,secondary,no,5766,yes,yes,24327
31,technician,single,secondary,no,4888,yes,no,34697
32,blue-collar,single,secondary,no,138,yes,no,38622
31,technician,single,secondary,no,1186,yes,no,5246
60,retired,married,tertiary,no,100,no,no,67
39,services,married,secondary,no,946,yes,no,32971
55,technician,married,unknown,no,574,yes,no,28522
55,blue-collar,married,unknown,no,-361,yes,no,36445
38,management,single,tertiary,no,667,yes,no,33065
29,services,single,tertiary,no,2564,yes,no,6228
49,blue-collar,single,primary,no,-165,yes,yes,17397
29,blue-collar,married,secondary,no,59,yes,yes,38087
51,blue-collar,married,primary,no,0,yes,no,13810
36,admin.,married,secondary,no,3321,yes,no,24139
42,unemployed,divorced,secondary,no,325,yes,no,7041
31,technician,single,secondary,no,36,no,no,22050
42,management,married,tertiary,no,2819,yes,no,24880
32,services,divorced,secondary,no,41,yes,no,29679
29,management,married,tertiary,no,465,yes,no,14816
57,management,married,tertiary,yes,-24,yes,no,24482
44,management,married,tertiary,no,870,yes,yes,36832
46,management,divorced,tertiary,no,3,yes,yes,19047
41,blue-collar,single,primary,no,0,yes,no,3997
35,blue-collar,divorced,primary,no,0,no,no,10313
36,management,single,tertiary,no,1400,yes,no,36288
33,technician,married,secondary,no,484,yes,no,44573
33,management,married,tertiary,no,956,yes,no,33959
32,management,married,tertiary,no,1337,no,no,20779
60,retired,married,secondary,no,938,no,no,42645
26,services,single,secondary,no,1445,no,no,24083
45,admin.,married,secondary,no,5244,yes,no,7440
28,technician,married,secondary,no,675,yes,no,32671
46,housemaid,married,unknown,no,1035,no,no,10711
44,blue-collar,divorced,unknown,no,532,no,no,3864
42,blue-collar,married,primary,no,1398,no,no,37545
41,admin.,married,secondary,no,124,yes,no,36893
29,admin.,single,tertiary,no,514,no,no,42838
47,admin.,divorced,secondary,no,225,no,no,23611
55,admin.,married,unknown,no,2038,no,no,31876
51,technician,married,secondary,no,271,yes,no,6868
31,management,single,tertiary,no,391,yes,no,20645
39,management,single,tertiary,no,3281,no,no,9940
42,management,single,tertiary,no,706,no,no,42814
43,admin.,married,secondary,no,324,no,no,19934
56,technician,divorced,secondary,no,1561,no,no,20892
53,technician,married,secondary,no,264,no,no,31175
30,services,single,tertiary,no,1788,no,no,44409
47,admin.,married,secondary,no,1358,yes,no,38048
51,admin.,single,secondary,no,895,no,no,16483
33,blue-collar,single,unknown,no,129,yes,yes,33995
37,services,single,secondary,no,-196,yes,no,845
33,technician,divorced,secondary,no,295,no,no,21647
56,blue-collar,married,primary,no,3498,no,no,32193
40,blue-collar,divorced,primary,no,737,yes,yes,2117
27,unknown,single,secondary,no,1187,no,no,31164
34,admin.,single,tertiary,no,625,no,yes,44616
57,blue-collar,married,secondary,no,-353,no,yes,7277
45,technician,married,secondary,no,1003,yes,no,8716
37,unknown,single,secondary,no,57,yes,no,6164
58,blue-collar,divorced,primary,no,820,yes,no,12710
40,blue-collar,married,primary,yes,-56,yes,no,6310
48,management,married,tertiary,no,20718,yes,no,2939
30,technician,single,tertiary,no,655,no,no,41701
31,entrepreneur,single,secondary,no,379,yes,no,15483
33,admin.,married,secondary,no,95,yes,no,40763
56,housemaid,married,primary,no,58,no,yes,12701
31,unemployed,married,secondary,no,90,no,no,17391
54,services,married,secondary,no,869,no,no,20957
48,unknown,single,unknown,no,1819,no,no,44652
60,retired,married,primary,no,957,no,no,19309
38,admin.,married,secondary,no,137,yes,no,18394
60,retired,married,secondary,no,1690,no,no,11712
27,self-employed,single,tertiary,no,451,no,no,29921
32,management,married,tertiary,no,282,no,no,22462
58,management,married,tertiary,no,2183,yes,no,16065
55,technician,married,secondary,no,978,yes,no,4221
63,retired,married,tertiary,no,8103,no,no,40701
27,management,single,tertiary,no,0,yes,no,28883
35,admin.,divorced,secondary,no,404,yes,no,34744
32,technician,married,tertiary,no,0,yes,no,15988
45,management,divorced,tertiary,no,2406,no,no,19906
37,entrepreneur,married,tertiary,no,836,yes,no,6350
30,technician,married,secondary,no,394,no,no,22612
30,technician,single,secondary,no,1359,yes,no,6362
44,retired,divorced,primary,no,2083,yes,no,6629
29,technician,single,tertiary,no,68,yes,no,33221
31,entrepreneur,single,tertiary,no,1957,no,no,29860
41,blue-collar,married,secondary,no,306,yes,no,36220
40,services,single,secondary,no,1038,no,no,9195
42,admin.,married,secondary,no,214,yes,no,6698
50,technician,single,secondary,no,-463,yes,no,6081
28,entrepreneur,single,unknown,no,1306,yes,no,4217
25,student,single,tertiary,no,326,no,no,39606
28,admin.,married,secondary,no,22171,yes,no,7015
32,management,married,tertiary,no,62,yes,no,24172
28,admin.,divorced,secondary,no,451,yes,no,37134
48,unemployed,married,secondary,no,817,no,no,44216
28,student,single,tertiary,no,61,yes,no,14961
47,housemaid,married,secondary,no,4397,yes,no,17014
25,student,single,secondary,no,1139,yes,no,3465
53,blue-collar,divorced,primary,no,4401,no,no,40811
43,services,divorced,secondary,no,62,no,no,11156
36,management,married,secondary,no,-267,no,no,15699
50,technician,married,secondary,no,213,yes,yes,11996
58,management,married,tertiary,no,2764,no,no,24278
42,management,divorced,tertiary,no,266,no,yes,27742
34,management,married,tertiary,no,91,no,no,32682
43,management,married,secondary,no,1424,yes,no,17017
47,housemaid,married,primary,no,20,no,yes,17320
