contact,day,month,duration,campaign,pdays,previous,poutcome,y,uid
cellular,30,jul,278,3,-1,0,unknown,no,18132
unknown,16,jun,66,5,-1,0,unknown,no,10465
cellular,18,may,13,4,362,1,other,no,38970
telephone,15,may,350,8,360,1,failure,no,38615
unknown,19,jun,354,7,-1,0,unknown,no,11602
cellular,6,may,175,1,322,3,failure,no,34987
cellular,30,jan,405,2,-1,0,unknown,no,28868
cellular,18,nov,245,1,-1,0,unknown,no,25028
unknown,20,may,243,1,-1,0,unknown,no,4429
unknown,6,may,283,2,-1,0,unknown,no,476
cellular,16,jun,459,2,-1,0,unknown,no,40316
unknown,12,jun,137,1,-1,0,unknown,no,10294
cellular,20,apr,476,3,-1,0,unknown,no,33457
unknown,21,may,166,7,-1,0,unknown,no,4872
cellular,29,jul,95,4,182,7,success,no,44326
telephone,2,jul,248,3,-1,0,unknown,no,40408
telephone,5,feb,13,8,238,9,other,no,30159
cellular,24,jun,136,5,94,30,failure,no,43980
cellular,8,may,309,2,-1,0,unknown,no,35928
cellular,6,apr,194,2,-1,0,unknown,no,31614
telephone,31,jul,444,6,-1,0,unknown,no,18594
cellular,18,nov,1377,1,-1,0,unknown,no,25418
telephone,16,apr,287,1,-1,0,unknown,no,32448
unknown,26,may,204,1,-1,0,unknown,no,5684
cellular,14,aug,286,3,-1,0,unknown,no,21191
telephone,28,jan,176,2,-1,0,unknown,no,42798
unknown,20,jun,11,4,-1,0,unknown,no,12200
cellular,20,aug,180,1,-1,0,unknown,no,41208
cellular,7,may,110,1,-1,0,unknown,no,35382
cellular,16,apr,35,1,-1,0,unknown,no,32223
unknown,7,may,248,3,-1,0,unknown,no,1119
unknown,15,may,160,1,-1,0,unknown,no,3503
cellular,9,nov,262,1,94,2,success,yes,42173
cellular,13,may,1119,2,-1,0,unknown,yes,37416
cellular,4,feb,348,2,-1,0,unknown,no,30064
cellular,29,jan,50,1,195,2,failure,no,28251
cellular,12,may,43,3,369,2,failure,no,36615
cellular,5,may,81,9,-1,0,unknown,no,34669
unknown,6,may,203,2,-1,0,unknown,no,405
unknown,2,jun,537,5,-1,0,unknown,no,8058
unknown,17,jun,198,6,-1,0,unknown,no,11032
cellular,13,aug,142,4,-1,0,unknown,no,20777
cellular,13,apr,157,3,-1,0,unknown,no,31966
telephone,18,jul,200,3,-1,0,unknown,no,15500
telephone,20,apr,70,4,-1,0,unknown,no,33547
cellular,17,jul,193,2,-1,0,unknown,no,15267
unknown,8,may,198,1,-1,0,unknown,no,1271
unknown,16,may,139,2,-1,0,unknown,no,3753
cellular,30,apr,551,1,-1,0,unknown,yes,34063
unknown,3,jun,788,2,-1,0,unknown,no,8599
cellular,19,nov,357,1,-1,0,unknown,no,25705
cellular,19,nov,482,3,120,2,failure,no,25813
unknown,28,may,96,4,-1,0,unknown,no,6968
cellular,18,aug,285,7,-1,0,unknown,no,21461
unknown,27,may,498,1,-1,0,unknown,no,6345
telephone,29,jul,38,3,-1,0,unknown,no,17735
cellular,5,feb,67,2,202,1,failure,no,30161
cellular,6,may,503,2,280,2,failure,no,34810
cellular,14,may,135,3,363,2,failure,no,38023
telephone,17,nov,105,3,-1,0,unknown,no,24329
cellular,31,jul,6,16,-1,0,unknown,no,18415
cellular,26,jul,183,1,221,2,failure,yes,44282
unknown,26,may,304,4,-1,0,unknown,no,6000
cellular,30,apr,830,1,-1,0,unknown,yes,33963
cellular,10,jul,1097,3,-1,0,unknown,yes,14004
unknown,6,may,310,1,-1,0,unknown,no,479
cellular,2,jun,130,1,-1,0,unknown,no,39927
unknown,19,may,173,5,-1,0,unknown,no,4336
cellular,8,jul,230,2,-1,0,unknown,no,44108
cellular,12,aug,112,4,-1,0,unknown,no,20598
cellular,1,jul,132,2,-1,0,unknown,no,40396
cellular,12,aug,614,2,-1,0,unknown,no,20421
cellular,2,feb,173,1,-1,0,unknown,no,29143
unknown,20,jun,40,2,-1,0,unknown,no,12052
unknown,9,jun,58,1,-1,0,unknown,no,9881
unknown,27,jun,397,1,-1,0,unknown,no,12391
unknown,17,jun,104,2,-1,0,unknown,no,10776
cellular,12,aug,178,2,-1,0,unknown,yes,40874
cellular,31,jul,92,2,-1,0,unknown,no,18325
cellular,25,jul,400,2,-1,0,unknown,no,17110
cellular,13,may,87,1,-1,0,unknown,no,37195
cellular,18,jul,268,1,-1,0,unknown,no,15325
cellular,22,jun,115,1,-1,0,unknown,no,40365
cellular,3,feb,439,3,-1,0,unknown,no,29707
cellular,5,aug,148,1,-1,0,unknown,no,19026
cellular,27,aug,176,10,-1,0,unknown,no,23305
cellular,17,jul,544,1,-1,0,unknown,no,15049
cellular,2,feb,225,1,-1,0,unknown,no,28913
cellular,30,jul,67,21,-1,0,unknown,no,18113
cellular,5,aug,277,1,-1,0,unknown,yes,40637
cellular,12,aug,76,4,-1,0,unknown,no,20571
telephone,12,may,29,2,370,1,failure,no,36871
cellular,26,mar,143,2,-1,0,unknown,no,31404
cellular,9,apr,220,1,142,1,failure,no,31879
unknown,12,jun,67,4,-1,0,unknown,no,10457
unknown,15,may,161,3,-1,0,unknown,no,3303
unknown,20,jun,13,11,-1,0,unknown,no,11913
unknown,20,may,61,2,-1,0,unknown,no,4555
cellular,28,jul,174,2,-1,0,unknown,no,17232
unknown,26,may,536,1,-1,0,unknown,no,5846
telephone,11,jul,470,2,-1,0,unknown,no,14187
cellular,22,apr,292,4,247,1,other,no,43524
cellular,2,apr,77,2,133,4,failure,no,31533
telephone,28,dec,824,1,193,11,success,yes,42567
unknown,11,aug,93,2,-1,0,unknown,no,20303
cellular,12,aug,612,4,-1,0,unknown,no,20668
unknown,20,may,81,1,-1,0,unknown,no,4430
cellular,13,aug,766,3,-1,0,unknown,no,40979
unknown,27,may,142,2,-1,0,unknown,no,6343
unknown,20,may,106,1,-1,0,unknown,no,4579
cellular,7,may,63,1,336,12,other,no,35210
cellular,18,may,8,5,-1,0,unknown,no,38758
cellular,5,may,335,1,-1,0,unknown,no,34544
unknown,17,jun,85,1,-1,0,unknown,no,10882
unknown,3,jun,342,3,-1,0,unknown,no,8427
cellular,7,jul,429,1,-1,0,unknown,yes,40482
cellular,5,feb,605,2,-1,0,unknown,no,30467
cellular,8,may,346,2,-1,0,unknown,no,35932
unknown,21,may,292,2,-1,0,unknown,no,5105
cellular,8,aug,85,9,-1,0,unknown,no,19809
unknown,26,may,140,2,-1,0,unknown,no,5912
cellular,24,feb,254,5,140,1,other,no,43125
unknown,12,may,41,1,-1,0,unknown,no,2251
unknown,20,jun,13,14,-1,0,unknown,no,12077
cellular,25,aug,14,22,-1,0,unknown,no,22801
cellular,4,jul,668,2,-1,0,unknown,no,12660
cellular,24,jul,561,4,-1,0,unknown,no,16614
telephone,7,jul,352,2,-1,0,unknown,no,12990
unknown,9,jun,154,10,-1,0,unknown,no,10035
telephone,15,apr,358,2,-1,0,unknown,no,32184
cellular,20,apr,305,2,154,1,failure,no,33443
telephone,14,jul,105,3,-1,0,unknown,no,14369
unknown,19,may,316,2,-1,0,unknown,no,4090
unknown,11,jun,850,8,-1,0,unknown,no,10266
cellular,17,jul,378,7,-1,0,unknown,no,15172
unknown,12,jun,66,1,-1,0,unknown,no,10389
cellular,20,nov,140,1,-1,0,unknown,no,26642
unknown,3,jun,404,4,-1,0,unknown,no,8482
unknown,7,may,193,1,-1,0,unknown,no,889
unknown,2,jun,152,2,-1,0,unknown,no,8093
cellular,13,may,117,2,278,3,other,no,36989
cellular,30,apr,266,1,-1,0,unknown,yes,34159
cellular,12,aug,150,2,-1,0,unknown,no,20514
unknown,18,jun,41,8,-1,0,unknown,no,11315
cellular,13,apr,754,3,143,6,failure,no,31967
cellular,21,jul,274,3,-1,0,unknown,no,15841
cellular,17,nov,57,1,-1,0,unknown,no,24227
cellular,25,aug,209,5,-1,0,unknown,no,22661
unknown,2,jun,214,2,-1,0,unknown,no,8256
cellular,5,feb,71,1,-1,0,unknown,no,30357
cellular,20,apr,400,1,-1,0,unknown,no,33344
unknown,5,may,404,4,-1,0,unknown,no,357
cellular,4,feb,736,1,-1,0,unknown,yes,29833
cellular,13,may,239,1,369,5,failure,no,37323
cellular,19,aug,349,4,-1,0,unknown,no,21683
unknown,17,jun,187,2,-1,0,unknown,no,11022
unknown,15,may,86,1,-1,0,unknown,no,3283
unknown,12,jun,753,1,-1,0,unknown,no,10320
unknown,20,may,175,2,-1,0,unknown,no,4723
cellular,31,jul,128,2,-1,0,unknown,no,18526
unknown,3,jul,24,1,-1,0,unknown,no,12530
cellular,22,oct,334,1,-1,0,unknown,no,41944
unknown,19,jun,26,2,-1,0,unknown,no,11513
cellular,18,may,252,4,-1,0,unknown,no,38946
cellular,23,jul,115,1,-1,0,unknown,no,16252
telephone,14,jul,252,4,-1,0,unknown,no,14500
cellular,11,may,198,1,-1,0,unknown,no,36151
cellular,10,mar,350,2,112,3,failure,yes,31291
unknown,23,may,146,3,-1,0,unknown,no,5598
cellular,15,may,411,6,175,3,other,no,38608
unknown,11,jun,103,3,-1,0,unknown,no,10073
cellular,20,nov,179,1,197,1,failure,no,26177
